Timestamp,How would you rate your level of comfort with learning and using new technology?,Have you experienced any of the following challenges associated with the emergency deployment of remote courses? (Select all that apply or ),Which of the following digital platforms were implemented in your courses after the switch to remote learning? (Select all that apply or ),Please describe your experiences with at least one of the above platforms (or write  if ).,Describe a creative or inventive method that an instructor implemented to improve your remote course or to help students.,"What aspects, if any, of in-person classes did you miss this spring?",How likely are you to enroll in an online course in the future (assuming there are options for both online and in-person sessions)?,How has your overall perception of online learning changed during the semester of Spring 2020?,Please share any other thoughts you have regarding your experience with remote courses in spring 2020 (optional). 
2020/05/29 3:54:06 PM MDT,1,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Padlet;VoiceThread;LockDown Browser,,A support system.. one of my professors created a GroupMe with all of the students so we can support each other in case we needed help mentally or academically.,The in-person meetings I like to have. I feel like this helped me a lot.,4,I dislike the idea of online classes mostly because I need the engagement.,
2020/05/29 4:07:19 PM MDT,4,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread,zoom has been an efficient tool to increase limitations on communication.,adding participation for joining calls and lectures,the liberty of asking questions and working with others ,4,Very hard ,"Have more student engagement.  After this transition, it is difficult for many to feel like they are in school"
2020/05/29 4:25:19 PM MDT,3,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto,Pretty straightforward ,Ece instructor used panopto and made us do word documents for participation,The environment and human interaction with instructors ,2,It is very much personal ,
2020/05/29 4:26:09 PM MDT,4,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors),Zoom;Panopto;VoiceThread;LockDown Browser,They all work pretty well,Making checklists for students on D2L was very helpful,Seeing my teachers face to face and seeing my friends,2,It was fine,
2020/05/29 4:26:12 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto,,Recorded videos. ,Working with the TAs.,3,Itâ€™s as motivating as in person classes. ,
2020/05/29 4:28:00 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Personal (decline in concentration/motivation and other mental factors)",Zoom;VoiceThread,"Zoom works however, it is not effective when we are assigned to stare at a screen for 3.5 hours for class. The only other issue was random people disrupting class.",,"Seeing my friends, being able to talk to a professor face to face, and studying at the library",3,"Horrible, I miss in-person courses however, it is unlikely that I will feel safe returning to campus unless certain measures are taken. ",I felt like I learned nothing. I did not retain any information because some of my professors added on to our course load rather than adjusting it to the current situation.
2020/05/29 4:34:46 PM MDT,5,Personal (decline in concentration/motivation and other mental factors),Slack,I feel like I got more out of being able to have everyone come together and freely express their thoughts through our Slack channel.,The instructor would allow us discuss an interesting topic once a week that was unrelated to our course work ; that gave us the chance to network with each other regards of the circumstance. ,,5,It changed how I view my own methods of learning. As I had to adapt it changed which methods do and do not work me. ,"I really enjoyed it, it definitely gave me a lot more flexibility with my personal schedule. "
2020/05/29 4:43:00 PM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;VoiceThread;LockDown Browser,"At times teachers would have issues uploading lectures and it would mess up my schedule for completing work, putting me a week behind.",Professors would put up multiple 10 minute or less video lectures that were fantastic!,I missed the structure it provided and the interaction with peers I could have.,2,I've learned I can do online classes fairly well.,COVID-19 sucks. I want to see people and I was so unmotivated to do work. Why do I need to pass chemistry if I might be hospitalized cuz of my asthma? Proved to me I have resilience but I'm so done with it.
2020/05/29 4:53:40 PM MDT,3,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread,"Zoom was relatively good at providing virtual classrooms. However, it seemed to have poor security. VoiceThread was only used for audio responses in one of courses. For this purpose, it was very solid at recording and publishing.",Online Review Sessions that were recorded as well,Ability to interact with peers about course material ,3,"I believe that it can be a useful tool to enhance learning done in the classroom, especially to those that learn better outside of the classroom. It should be a possible option for students that work best in this situation.",
2020/05/29 4:55:55 PM MDT,4,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,"Zoom internet connection is unstable, but that is mainly due to the internet connectivity overall",Online lectures and Zoom study sessions,The in-person nature of it,3,It did not really change,
2020/05/29 5:34:48 PM MDT,2,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread;Examity,Examity was very confusing to use at first since everyone was working from home.,They recorded their voice for powerpoint slides.,Social interaction,2,It was easy to use.,
2020/05/29 6:13:08 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Examity,I think the Zoom is the best one. I can have a good communication with professor and classmates by using Zoom ,Zoom meeting (Online walk-in hour) is helpful for students to keep communicating with the professor. ,,5,"To be honest, I does not like online class. In online class, I couldn't contact the professor in time. Some professor just post a video and ppt. I prefer in-person class.",
2020/05/29 6:27:43 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),"Zoom;Panopto;Great River Learning.com, D2L, Microsoft PowerPoint",Zoom was great for online communication and interaction with instructor and peers.,Panapto for class lectures with included mini quizzes for participation.,"In-Person lecture, interactivity",3,"It has changed drastically because at first I thought it would be much easier but, it was a real challenge getting everything done online since I was just in one setting whereas if I were in person at the UA, I would be constantly moving.",It was supportive but very challenging.
2020/05/29 11:37:04 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors)",Zoom;VoiceThread,I enjoy the zoom classes and voice threads are very convenient to have in order to listen once or twice if necessary.,Have small groups and add each otherâ€™s number in order to help us.,The engagement and spread of ideas,5,Very good however it can not be compared to physical clasess,If you have small sibling having zoom lectures can be nearly impossible.
2020/05/30 2:57:07 PM MDT,5,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Examity,"Examity was shut down for some time and after it was used again, there was no proctor. We went through a simplified process of verifying our identity and then we took the exam and were recorded. "," all the professors either just asked us to log into zoom, play lectures through panapto that were prerecorded or just look at lecture slides in order to learn. ",In person classes allowed us to work collaboratively in groups for some classes and be able to get help from preceptors rather than waiting at the end of class to ask our questions like we had to on zoom. We were able to meet up to do homework and study for exams as well as attend SI and review sessions for exam. ,4,I still do not find much value in online courses. So my opinion remains the same. ,
2020/05/30 7:48:09 PM MDT,3,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread,,,Office hours and class environment ,3,,
2020/05/31 10:34:16 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread,"It appeared that I took a lot longer at looking at information while using VoiceThread, but not because I was being efficient, it just took longer for me to grasp the information",During zoom meetings they would break the class into smaller rooms and had TAs helping us,It was easier to ask questions and obtain answers faster,4,"Yes, I was taking a science lab, and I was able to see that online labs are not the most efficient way of learning",
2020/06/02 3:43:50 AM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread,"Simple to use, however had many security concerns when using Zoom due to frequency of Zoom bombing. ",,Direct engagement with peers to discuss course materials,2,Easier than expected in terms of work load,
2020/06/02 12:39:48 PM MDT,2,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Playposit;Examity;LockDown Browser,We used zoom to have live lectures for classes. I prefer Panopto to Zoom and Playposit because I experienced connection difficulties with Playposit.,I liked when my instructor put practice problems on our Panopto lectures. I think that was beneficial and allowed me to learn with the lectures.,I miss the in-person interaction and the speed of asking questions and getting an answer. I don't really like asking in email and having to wait longer compared to raising your hand in class. ,2,"I'm glad that we still can learn through online, and I think it's a great way to really test self-control because you have to pace yourself through the homework without getting in-person reminders from the instructors.","Even though I was fine with the remote courses in spring 2020, there is still a part of me that gets scared whenever there are difficulties in the technology. "
2020/06/02 1:35:10 PM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)","Zoom;Panopto;Google apps (Google classroom, Google hangout, etc.);VoiceThread",,Virtual office hours and videos that demonstrated how to use the online course,I missed just going to class and interacting with classmates and instructors,1,How much myself and others gain from learning in person and hands on. ,
2020/06/02 1:36:24 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Playposit,na,videos to explain lab instructions ,"engagement, accessibility to resources",4,I personally do not learn as well online as I do in person,
2020/06/02 1:36:35 PM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;Socrative,I had classes through zoom every Monday Wednesday and Friday and there were practice videos on panopto ,The instructor asked how we were all doing and genuinely cared about our well being ,"I missed working with other students, being able to connect more with my professors, and studying with friends at different places on campus",1,I have become much more comfortable with online learning and am more open to doing it in the future. ,
2020/06/02 4:11:05 PM MDT,4,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread,"It took me a long time to figure out where the online lectures where, whic greatly inconvenienced me. ",,The part where I could ask my teacher questions right away. ,5,I did not previously  have any desire to undergo an online class and I still do not want to take part in an online class. ,"Awful experience, learned very little compared to in person learning..."
2020/06/02 5:26:09 PM MDT,1,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Playposit,Zoom was alright for teaching but I did not like it when we had to go into separate chat rooms with our groups. That definitely caused me stress lol ,Well I got lucky that one of my professors was specially designed for online teaching because he is so awkward yet excited/motivated ,I miss saying random jokes and talking to peers. Zoom chat betrayed us,3,"Yes, my stance has been fortified that online is like an absolute last minute thing because I don't believe that I learn the same","I glad we moved quickly when COVID 19 started, but I am worried as to what we'll need to do for the next semester with in person with everything that is still happening. "
2020/06/03 9:40:21 PM MDT,2,Personal (decline in concentration/motivation and other mental factors),"Zoom;Google apps (Google classroom, Google hangout, etc.);VoiceThread",it was pretty relaxed and the responsibilities were dramatically decreased as soon as the lockdown started. but overall it was a pretty seamless transition.,there was extra office hours in chemistry for example to give me and us extra support.,i miss being able to ask questions when they come up and have almost instant feedback.,4,i made the most of it but it was pretty unenjoybale since i prefer person to person interactions.,
2020/06/03 9:41:37 PM MDT,2,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;VoiceThread,I liked playposit as it allowed for question asking within the presentation and was easy to navigate,Online live sessions as well as supplemental lessons on panopto to support live Lectures. ,"Missed being present in class, walking to and from class as well as interacting with students From classes. Study groups were also easier to coordinate. ",4,"It is much harder to stay motivated. I like online for certain classes, but when having an enthusiastic professor with helpful preceptor, being physically present is a much more positive experience. ",I really hope to go back to class in fall. I felt very lonely learning remotely. It took all the enjoyable parts out of college. I like the feeling of big lecture halls and online courses made learning feel fake. 
2020/06/03 9:45:32 PM MDT,3,"Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Personal (decline in concentration/motivation and other mental factors)","Zoom;Playposit;Socrative;Google apps (Google classroom, Google hangout, etc.);VoiceThread;Examity;LockDown Browser",Must stay on top of work,Have zoom office hours ,Being able to talk to teacher in person ,2,It was challenging but difficult ,Online learning can be difficult if you donâ€™t stay on top of things 
2020/06/04 12:39:11 AM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)","Zoom;Google apps (Google classroom, Google hangout, etc.);VoiceThread",,videos explaining slides on lexture,math was hard because of poor connection it was hard to see the problems i suffered from lack of in person connection,1,i donâ€™t think it can fully replace in person,
2020/06/06 12:58:50 PM MDT,4,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto,It was really nice to be able to use Zoom because this gave us a just to see and hear each other even though we where all in different places. Personally I do not like doing things online I prefer in person but this was a nice tool to use to teach.,Putting us in groups to work with each other on any assignments,The hands on activities like for my lab course,5,My overall perception for online learning has changed to hating it a bit more than I did,I feel that students didn't learn the material as well compared to learning it in person
2020/06/11 10:15:44 AM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,Zoom has been easy to adapt to. It is convenient and has become an easy method to stay connected.,One of my instructors held zoom during the same time class was just in case students wanted to pop in to ask questions or just say hello,Being able to ask questions about course material in person (especially for accounting 210 and bnad 277),1,It was a lot harder balancing an entire schedule of online classes rather than just one or two,I think that teachers should have taken into account the distractions that come with being home and taking all online classes
2020/06/11 10:16:36 AM MDT,2,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors),Zoom;VoiceThread,Voicethreads or zoom recordings seemed to work the best for learning the class material rather than reading the textbook. It is the most similar to being in person and learning the material.,Dr. Melendez kept his presentations very short but dense with course materials. Lots of notes and important information on the side of the screens. Very easy to pause the voicethread and take detail notes. Usually a maximum of 14 slides and 12 minutes in length.,Any collaborative projects/assignments! All collaboration and team assignments are significantly harder in an online platform.,5,"There is definitely advantages and disadvantages to both. However, traditional in person classes will always be preferred. There is too many technical difficulties of online classes that can end up hurting you in the end.",Shared most of my thoughts in the prior questions.
2020/06/11 11:05:34 AM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Examity;LockDown Browser,They are all good platforms but they just aren't the same as learning the material in person. ,Posting videos to keep us informed,being able to learn and study with my friends in person and go to lectures where the teacher is actually next to you.,2,Not really ,
2020/06/11 11:37:20 AM MDT,4,Power frequently going out due to weather,Zoom;LockDown Browser,I really liked Zoom because I was still able to interact with my professors and peers. I do better with face to face communication so being able to still see people helped a lot.,Using Zoom to teach lectures instead of the normal pre-recorded lectures,Seeing my friends in my classes and no issues with time zones or the power going out,2,"Yes, although I prefer in person classes, I think I am learning new ways to learn and can use that to my advantage moving forward in my career.",
2020/06/11 11:44:16 AM MDT,2,Personal (decline in concentration/motivation and other mental factors),Zoom;Playposit;VoiceThread;LockDown Browser,I enjoyed zoom. The rest I found to be mediocre,inviting students to give suggestions to improve the online learning environment ,I missed being able to meet with my friends in class,1,No,
2020/06/11 12:16:04 PM MDT,4,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Playposit;LockDown Browser,Zoom was frequency used and for the most part was okay. ,Having zoom meeting for exam review and to answer any question students have throughout the course. ,Face-to-face conversations. ,5,"Because the change was so sudden and both students and instructors had to make such an adjustment, some forms of learning through this new method seem forced and unstructured. I haven't taken online classes before some good, some bad but I still think online classes are good.  ",
2020/06/11 12:46:01 PM MDT,5,Time-related (time zone differences or drastic changes in regular class times and deadlines);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread;LockDown Browser;Pitchvantage,"Lockdown is fine and easy to use, most zoom meetings are unnecessary, VoiceThread is useful but I don't feel comfortable using it, Pitchvantage seems like they're selling our data and we're paying them to do it",Not much has been creative to be honest,Studying with people in person is best and I never do that now that everything is online,1,Online learning definitely seems easier than in person learning,It was a pretty messy transition but the pass/fail option made that ok. I found it unfair that some professors decided to make their finals after the pass/fail deadline. They did this because they did not want us to be able to make an informed decision as to whether or not to pass/fail. Pretty disappointed in certain faculty members for doing that. 
2020/06/11 12:48:53 PM MDT,3,Communicative (communicating and engaging with peers and instructors),Zoom;LockDown Browser,Zoom worked very well,using the break out rooms in zoom,being able to work with the teacher one on one in person,4,It was as good as it could be,
2020/06/11 1:23:17 PM MDT,1,Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,"My experience with these platforms went well, I have utilized LockDown Browser in prior classes so I already knew how to work the program. As for Zoom, I had not used it prior to remote courses in the Spring of 2020 but found it to be very user friendly and useful. ","For one of my courses, we often discussed during the normal class periods and so my instructor created a Google Doc with questions where we would be able to watch the lectures then discuss the topics as a class on the document. ",I think in person courses allow for a better understanding of the material and provide more motivation towards school. I find it to be difficult to complete my assignments promptly when at home because of the various distractions. I miss campus and actually walking to class with a set schedule. ,2,"It is more difficult when you are tasked with core courses, I find online gen eds to be very straightforward and easy to get through but with major related courses they are more challenging. ",
2020/06/11 1:38:13 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,My experience with Zoom and LockDown Browser have both been positive! Easy to use and effective,Open office hours on Zoom. ,It is much harder to fully learn concepts when they are being taught online. I definitely do not understand material from the spring as well as I would have.,3,It has made me take online learning and classes more seriously. ,I think that open note tests have made me focus on understanding the material rather than just memorizing. Online classes have improved my note taking skills and made me take reading the textbook more seriously. 
2020/06/11 1:47:02 PM MDT,5,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit,"Zoom has been pretty effective, yet security needs to be a key issue focused on by teachers and faculty",Instructors added videos just talking about the following week to help students connect with the following assignments and ideas,"Being able to connect with other students, need more time to just meet as students",2,I have begun to realize that it is a very viable way to learn,
2020/06/11 2:09:18 PM MDT,2,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Padlet;LockDown Browser,I liked LockDown Browser as an alternative to Examity because I know I'm not being watched. Examity makes me nervous.,"One instructor implemented an ""exam stimulus package"" for our first exam after spring break. The stimulus package applied less weight to the exam if we had performed worse than our first exam. It showed that the professor understood how the pandemic affected our morale and was willing to be flexible.","The library, trees and flowers on campus, seeing friends",2,It has not changed. I don't believe spring 2020 was representative of true online learning.,I realized how much the environment affected my motivation to learn. It is hard to be immersed in learning with so many distractions at home.
2020/06/11 2:23:02 PM MDT,2,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines),Zoom;Panopto;LockDown Browser,,implementing optional zoom classes once a week,Personal touch,1,Good,
2020/06/11 3:41:58 PM MDT,4,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread;LockDown Browser,Each of the platforms were effective in accomplishing the goal they set out to do. ,In MGMT 310 our instructor created a zoom call the day before the test to allow for students to ask questions and review alongside him. ,"Taking notes in a notebook has always been the way I have done things, switching to online I now type notes and feel as if I retain less information. ",1,My view has not changed. Online learning will never be as affective as in person. ,
2020/06/11 3:43:58 PM MDT,2,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Personal (decline in concentration/motivation and other mental factors),Zoom;Examity;LockDown Browser,"I find zoom to be extremely easy to use, and a great source in maintaining interactivity and engagement with a class despite being online.","PitchVantage is an online source that allows you to practice presentation skills with feedback. I am not sure if this is new to BCOM 314, but it is incredibly creative and useful.",Being in a motivating environment and surrounded by people you can learn from and with.,3,"I feel I can now handle myself a lot better in an online environment as I can maneuver my way around better as well as keep on top of my own work, as my personal motivation has drastically increased.",
2020/06/11 4:00:40 PM MDT,1,,Zoom;VoiceThread;Examity,Very good,Virtual office hours,structured class time,1,It was improved,. great experience
2020/06/11 4:06:36 PM MDT,4,Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,"I had already used zoom for previous jobs, but it was weird seeing all of my classmates and teachers over the phone or computer.",Professor Melendez would post the power points and also included extra notes or articles we could access on the side.,I miss the in-person interaction with my classmates and professors,2,Yes it has,
2020/06/11 4:14:06 PM MDT,1,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;LockDown Browser,Zoom has been very helpful in review sessions and holding office hours with professors. Panopto is very useful with watching lectures as well as going to class during the spring semester. ,Dr. Gray Hunter had pre-recorded videos over a power point as if we were still in class but you can go at your own pace. I really liked how his whole course was structured in general ,Having a routine on campus. ie: I missed going to lectures and actually learning from the professor in person and hearing key things they say that only help if you went to class. It is hard to learn and teach yourself in a fully remote way not even the fact that it is online. ,1,My perception has changed in the way that I now know I can not take core classes online because it is harder to grasp the information.,
2020/06/11 4:48:21 PM MDT,3,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom,"My courses have mainly been using Zoom for class/team meetings and proctored exams. Some challenges with Zoom involve overlapping conversations and Wi-Fi connection. Some strengths involve screen-share and easy to use. Overall, it's a good communication tool. ",I think having break-out groups on Zoom was an innovative way to have group discussions. ,"I miss going to classes and chatting with friends/teammates. For me, it's more difficult to communicate online than in-person. ",5,There's not that much of a change. I have never been fond of online classes before and after the change. ,
