Timestamp,How would you rate your level of comfort with learning and using new technology?,Have you experienced any of the following challenges associated with the emergency deployment of remote courses? (Select all that apply or ),Which of the following digital platforms were implemented in your courses after the switch to remote learning? (Select all that apply or ),Please describe your experiences with at least one of the above platforms (or write  if ).,Describe a creative or inventive method that an instructor implemented to improve your remote course or to help students.,"What aspects, if any, of in-person classes did you miss this spring?",How likely are you to enroll in an online course in the future (assuming there are options for both online and in-person sessions)?,How has your overall perception of online learning changed during the semester of Spring 2020?,Please share any other thoughts you have regarding your experience with remote courses in spring 2020 (optional). 
2020/06/11 5:42:39 PM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)","Zoom;Google apps (Google classroom, Google hangout, etc.);LockDown Browser","I liked the implementation of Zoom, especially for communicating with teachers and classmates. ",We did in-class activities with groups of students on Zoom for BCOM 214.,"Talking with my peers and teachers face-to-face, as well as having more time to take in information.",1,"It's been a lot different, but I feel like I've adjusted as well as I could.",
2020/06/11 6:55:48 PM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,"LockDown browser has always been a pain. Every time I use it, I always have issues running it on my Mac. Often takes several tries to work","having open note tests after the transition helped alleviate some stress of the transition. However, It was still stressful to learn material designed for an in person lecture outside of class",I miss being able to ask questions to my peers in class about the material.,2,It now seems that in some cases that online learning may be necessary. I still prefer in-person lectures but I appreciate the flexibility of online instruction.,"Teachers did their best and I appreciate their efforts in the period of change. With that being said, I believe that the school should set a standard online class video method. For every class that transitioned online, all of them had different methods of delivering lectures. If it could be standardized, it would alleviate some of the stress."
2020/06/11 7:26:27 PM MDT,4,Technological (utilizing technology and connecting to online resources),Zoom;LockDown Browser,I have had a good experience with zoom so far. It is very easy to navigate.,Creative ways to test knowledge on a subject such as kahoot.,Being able to learn in person from a professor and seeing my friends in class.,5,I believe that virtual learning is very efficient and effective.,I would take more online courses in the future because I feel that I learn just as much in the virtual environment.
2020/06/11 7:33:59 PM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors),"Zoom;Google apps (Google classroom, Google hangout, etc.);Examity",I have been enjoying Zoom. Having the ability to watch previous conversations and lectures on command with chat is very nice. ,Open testing boards for a previous cyber security course. Having an active test bank to learn from is useful. ,,1,,U of A has very robust online courses. I enjoy D2L over Blackboard. 
2020/06/11 9:19:28 PM MDT,1,Personal (decline in concentration/motivation and other mental factors),"Zoom;Google apps (Google classroom, Google hangout, etc.);Examity;LockDown Browser",I really enjoyed Zooming with students for projects. It gives a sense of feeling back in the classroom. ,I really liked the use of instructors reading over the slides. It is hard in a in person class when the instructor is talking fast to take notes. It is nice to have the online lectures so you can go back if you missed something. ,Just the social aspect of meeting new people and having a routine. ,5,My perception of online learning this spring was that I felt really alone in the class. ,
2020/06/11 9:46:06 PM MDT,1,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors);mostly the motivation and previous drive are gone,Zoom;Panopto;LockDown Browser,Fair,Having a video of the professor speaking in a small window at the corner of the recorded lectures. It's horrible listening to lectures without ever seeing the professorâ€“feels disconnected.,Everything. Connection. Walking. Feeling.,5,The same. It's just better having a balance of in-person and online instead.,"It's all sad and unfortunate but there is nothing we can do. However, I don't believe online courses even near the value of in-person classes regarding tuition. There are way more accessible resources in-person. Online practice seems rather cheap to do considering the possibility of reusing lectures for futures semesters."
2020/06/11 9:53:07 PM MDT,5,,Zoom;Padlet;LockDown Browser,Zoom has been a great resource because it has allowed me to communicate with my professors prior to exams or if I have any questions. ,Zoom,Having the personal interactions and discussions with the professor. ,4,My teachers have been really organized which has allowed me to be successful learning online. ,
2020/06/11 11:33:42 PM MDT,4,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,Both Zoom and LockDown Browser were easy and simple to use,Fun discussion posts to help relieve stress,Being able to take in-person notes for lectures,3,No,
2020/06/11 11:43:28 PM MDT,3,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,Zoom office hours were very beneficial for quick questions regarding assignments. ,Gray Hunter would send encouraging videos from time to time which was reassuring. ,I missed being able to study with peers in order to figure out more difficult aspects of certain classes. I also struggled with online lectures because it was harder to stay engaged. ,4,"I struggled a lot at the beginning, but I am beginning to adapt. ",
2020/06/12 5:09:01 PM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;LockDown Browser,Zoom was used for lectures in my class and it wasn't as effective as being in class. ,"I don't really think that any of my teachers came up with creative or inventive methods, they made tests open notes which actually could be for worse for some students because they think open book means you don't have to study. ","I missed having a schedule, it was hard when i moved home and got a job I couldn't attend class times because it was the only job that I could find and since zoom lectures weren't mandatory it was really hard not having an actual place to be at a certain time. ",3,I don't mind online and i still did well in my classes but my perception hasn't changed ,"I think that it wasn't necessary, every one will eventually get sick and Arizona's hospitals were never over flooding with covid cases."
2020/06/13 7:14:50 PM MDT,5,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,I think Zoom is an amazing tool and I've never encountered any issues with it,I can't think of anything,"I miss human connection, and I miss being in lecture halls because it forces me to focus. Now I can't pay much attention to school-related tasks and my motivation is almost gone. I really hope fall class will be in person because I really hate online",5,I dislike it more than I used to,"I think there should be weekly update videos from teachers to remind us what we have to do that week, just for that tiny bit of human connection, because in my opinion that's what we miss the most"
2020/06/13 9:44:33 PM MDT,5,Personal (decline in concentration/motivation and other mental factors),"Zoom;Google apps (Google classroom, Google hangout, etc.);LockDown Browser","I think Zoom is the best way to learn, communicate and collaborate online",,The energy and focus is a lot easier to maintain. I miss in-person classes the best,3,"Yes, but I still prefer in-person",Online courses should be cheaper! Especially over summer and that we have no choice
2020/06/14 11:12:31 AM MDT,1,,Zoom;LockDown Browser,Zoom has been a great platform for remote learning. I have had an easy time using this platform.,Office hours from a certain time frame where we can just log on and meet with our professor.,In class teaching,2,Did a good job moving classes to remote learning,
2020/06/14 9:59:54 PM MDT,5,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors)",Zoom;LockDown Browser,Both LockDown and Zoom served well as proctoring techniques for my exams,Increased office hours and online recorded lectures that allowed us to go back and re-watch certain lessons,"Meeting peers and new friends face-to-face, as well as using our beautiful campus and enjoying AZ weather!",2,Gotten more comfortable with communicating with people through technological platforms,". Overall successful transition, only had issues with one course being switched to online abruptly. "
2020/06/15 11:06:08 AM MDT,4,,Zoom;VoiceThread;LockDown Browser,Zoom is always a great platform to use for classes. It's a good way to reach out to classmates and teachers.,A method that one of my instructors used in one of my summer classes was splitting us up into teams to work on a project. This way we could all share the portions of the project.,,1,It has changed a lot because I went from having 1 class online to having all my classes being online. It was a pretty big switch but it was needed.,
2020/06/15 1:48:15 PM MDT,4,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;Socrative;VoiceThread;Examity;LockDown Browser,All very good.,Offer extra credit,"Being on a ""schedule""",4,online learning is great,
2020/06/15 3:04:06 PM MDT,2,Personal (decline in concentration/motivation and other mental factors),Zoom;Padlet;VoiceThread;LockDown Browser,Mediocre,Open-book tests,Literally everything,5,"More negatively, although I understand there is not much that can be done.",I don't see a point in proctoring tests when they are open-note; many people would agree.
2020/06/18 3:28:39 PM MDT,5,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors),Zoom;Panopto,Zoom is a great platform but I think integrating Google apps can be a good option ,"Introducing modules, the entire class was based on it. There was no need to go over text book or other contact. This helped us to focus better on the course.",Maybe the in-person interaction and getting quick response from instructor ,5,I believe online platforms is a great way for have students to study an a safe and their suitable environment ,
2020/06/18 5:01:31 PM MDT,2,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),"Zoom;Google apps (Google classroom, Google hangout, etc.);VoiceThread;LockDown Browser","Zoom was at first awkward, but then soon became the new normal. I found the hardest part of this all was to keep track of all of my assignments. ","I had a spanish teacher upload a course schedule (that we could sync up to our calanders to our compter/phone) so we would have reminders of all of the assignment due dates, lectures and exams coming up.  I feel like it is a great way to try and keep students on track","face to face interaction, motivation to remain on track due to peers",2,"It was great, very impromptu and no one knew what to expect, but it went smoothly. ",
2020/06/19 12:21:26 AM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Examity;LockDown Browser,"I didn't enjoy the test taking software because it felt a bit invasive specifically Examity. However, I understand the need for it to ensure academic integrity I just wish their was a better way. ",A couple of teachers recorded video lectures and this made it feel like I was still in the classroom especially because I learn quite well from lectures. ,I missed the interpersonal communication associated with in-person classes that's one reason why I chose to attend a four year university. ,3,It was pretty much what I expected I was surprised by the commitment all of my professors had to provide an adequate and simple online course at the drop of a hat. ,
2020/06/19 12:23:51 AM MDT,5,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;VoiceThread,"I mean they do the job, I'm not expecting fantastic quality. It's online, people need to realize we're adapting and trying to overcome an issue. Though, not impressed but understand the use of the platforms.","Made the questions/material in lecture more relatable. Like mentioning funny slang we say, or a story, having fun questions that keep us engaged.","Easier understanding of material, connection with professors and going to class with friends.",2,"Honestly, I used to be a big fan of online. Especially with my level of involvement on campus, it made it easier for me to balance. Now, I don't want to touch online classes, unless it has a fantastic recommendation. My motivation tanks online and I'm a pretty motivated student.","Nothing much, it's necessary but definitely needs changes on how students interact with one another and with faculty."
2020/06/19 12:29:31 AM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom,"Zoom has gotten the job done. It's not superior to in-person learning, but its still nice to interact with others on voice.",,Building strong relationships with my friends and professors. I missed out on a lot of club and career fair opportunities as well. ,2,"It feels like Im not actually learning the material. Im just doing enough to pass with an A, but not really focusing on the content itself. ",
2020/08/05 12:45:48 PM MDT,2,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Padlet;Playposit;Socrative;VoiceThread,I enjoyed these platforms as they were a way to communicate with other students and the professors. ,Using padlet so we could respond to one another. ,I was able to concentrate more in-person. ,5,It was really difficult. I would never elect to do this. ,
2020/08/05 12:46:29 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;Examity,Zoom was extremely beneficial!!,They implemented lots of one on one activities in breakout rooms ,I missed seeing people face to face,4,"It was very daunting at first, but I got used to it and loved it!",
2020/08/05 12:47:47 PM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto,I like panopticon because we could watch lectures as often as we wanted,Utilizing breakout rooms on zoom,"Collaboration with classmates, speaking face to face with professors and other students",3,Itâ€™s easier than I thought but I know that it is difficult for a lot of people for so many reasons,
2020/08/05 12:47:53 PM MDT,3,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;VoiceThread,I liked having the ability to go back and watch recordings,discussion threads ,group work and communication,3,i still dont think it is the best method for my learning,
2020/08/05 12:50:00 PM MDT,5,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit,Panaptos were very helpful for me as they resembled classroom learning and allowed me to pause and go at my own pace.,Panaptos,I missed being able to interact with other students in person.,3,"I learned that with the right mindset and hard work, online learning is not as difficult as I thought it would be.",
2020/08/05 12:50:07 PM MDT,1,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto,I liked that Zoom calls were recorded so I could reference them afterwards, ,Discussing with peers,4,Online learning required more self motivation and lacks strict expectations,
2020/08/05 12:50:12 PM MDT,1,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;VoiceThread,Some Panopto lecture videos were too long or were difficult to navigate slide-by-slide.,,Having in-person labs.,2,"Some material can be conveyed equally well online as in-person, some really requires hands-on experience to be effective.",
2020/08/05 12:50:28 PM MDT,2,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),"Zoom;Panopto;Socrative;Google apps (Google classroom, Google hangout, etc.);Examity",Strong enough WiFi was the biggest problem ,Group me ,Meeting people in person ,2,Frustrating ,Zoom was the worst app to use with slower WiFi. Testing on examity was also very stressful because all I could think of was my WiFi going out and getting a zero on the test. 
2020/08/05 12:53:11 PM MDT,3,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Socrative;VoiceThread;Examity,Zoom is chaos ,Dr. Graham transitioned to optional lectures with practice quizzes,Being able to reliably take notes,4,It was disorganized and I learned less,
2020/08/05 12:53:31 PM MDT,2,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;Socrative,Mostly good ,"more office hours through zoom, recorded lectures ",Labs and discussions ,2,its okay but I rather go in person because I believe in human interactions. However I am aware that at this time this is not ideal ,
2020/08/05 12:58:47 PM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Personal (decline in concentration/motivation and other mental factors);Medical issues preventing me from being able to learn online",Zoom;Socrative,Zoom is horrible if you donâ€™t have really good wifi,,"Being able to learn and stick to a schedule, having others to work with",4,"I personally didnâ€™t do well, just because of medical issues",
2020/08/05 12:59:44 PM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors);Being a parent and having to help my kids learn while attending to all of my required zoom meetings,Zoom;Socrative,"Zoom was frustrating because it could get staticky sounding, made it hard to understand all of what was being said. It also picked up a lot of background noises and would randomly mute instructors. I was also required to have my own sound on the entire time, but would get in trouble for the background noise my children made","I had an instructor that had an entire website set up for accessing all homework, it was a foreign language and involved videos and us submitting recordings; probably my favorite class and much easier transition than everything else",Being able to go to in person office hours and ask questions face to face,4,Thereâ€™s a lot of â€œrequirementsâ€ teachers have enforced that weâ€™re seeing arenâ€™t quite so necessary ,
2020/08/05 1:06:17 PM MDT,5,"Accessibility (seeing, hearing, or otherwise accessing course material);Personal (decline in concentration/motivation and other mental factors)",Zoom,,", all of my professors used the same methods such as live learning at our normal class hour. Nothing too creative in my opinion. ","I missed my in-person lab experiences, especially my physiology lab where we were supposed to see cadaver lungs and stuff like that. ",5,"I feel a little more comfortable with online learning, but it is just difficult keeping a schedule and being disciplined to follow through with it. ",
2020/08/05 1:08:27 PM MDT,1,"Accessibility (seeing, hearing, or otherwise accessing course material)",Zoom;Panopto,"It went well for the most part, the only problems were because my professors werenâ€™t familiar with zoom.",,,1,I donâ€™t mind online learning.,
2020/08/05 1:21:23 PM MDT,5,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom,Very hard to concentrate over video call. I could barely understand the material due to poor connection of the Zoom application. Chemistry needs to be taught in-person for this is a class that is already difficult enough in-person. ,"Lecture Powerpoints were very helpful to me because my professor would add in voice threads to each slide, explaining the material further. I also really enjoy when online professors make their own video lectures. These video lectures are very organized and very easy to follow. ","I miss the classroom setting. This setting helps me to focus the entire hour(s) that lecture is going on which I did not have during the Spring of 2020. I also miss the collaborative aspect of in-person classes so that if I had a question that could be solved in a matter of seconds, I could ask one of my peers or a TA walking around. College should not be online for those who expected in-person classes. ",5,YES ,
2020/08/05 1:58:07 PM MDT,3,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread,zoom was great I would just lose focus fast if the professor began to talk about not class related things so then I wouldn't zone in in time for when they began talking about class again,more office hours and more quizzes,think tank especially for math and chem,4,it was so last min for everyone so I understand that UA and all of the professors tried their best but I feel like some professors handeled it poorly and made it harder on the students than they needed to,
2020/08/05 2:03:24 PM MDT,1,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors)",Zoom;Panopto,"Overall okay. Minor technical issues, but they were quite quickly resolved","Several lab courses required designing an experiment in much the same way we'd do in-person and then gave us results based on the experiments we came up with. It was crude, but effective at replicating parts of the lab experience.","I missed the social aspects. Conversing and solving problems with peers is deeper than just lectures, which tended to dominate the online course format.",3,"Not much. I still prefer in-person courses, but I see the value of online courses.",
2020/08/05 2:29:57 PM MDT,2,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;VoiceThread,I really liked using Zoom. I had used it prior to the online transition with an online class I took during the â€˜19 summer session. It was pretty easy. One teacher used it and had 9am class sessions and we were very fortunate that she posted those same zoom lectures on d2L when we werenâ€™t able to make it at that time.," Most of my teachers were flexible with deadlines and were available at all times of the day for questions. There was nothing that was creative, just a lot of communication through emails about staying on top of work and if needed to ask for extensions.",I think I missed having discussions.  of my online classes required us to jump onto an online platform to discuss with our classmates. Everything was at our own pace as long as we met the deadlines.,1,"My perception didnâ€™t really change. What I had experienced was what I had expected. PowerPoints were posted online and I learned the material, and took quizzes all at my own pace.",
2020/08/05 2:37:55 PM MDT,2,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Socrative;VoiceThread,"Panopto was used to view lecture notes, and was fairly intuitive. Socrative had been used in my classes prior to Spring 2020, and was easy to use. VoiceThread was used to access lecture notes, and was beneficial if a bit complicated. Zoom overall worked well, other than some issues with microphones and breakout rooms.",One of my instructors held extended office hours and extra opportunities to review lecture notes. This was extraordinarily beneficial.,"I missed the opportunity to go on a class field trip, and in another class we had to scrap the multitude of hands-on projects we were in the process of. I also missed being able to interact with peers in the classroom during group discussions; trying to do the same in Zoom was very awkward and ineffective. ",3,I have grown to quite dislike it.,
2020/08/05 2:42:21 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;Socrative,Na,Live lectures,Classmate help/ motivation,5,It became much less enjoyable,
2020/08/05 3:15:23 PM MDT,1,Communicative (communicating and engaging with peers and instructors),"Zoom;Panopto;Playposit;Socrative;Google apps (Google classroom, Google hangout, etc.);VoiceThread;Examity;LockDown Browser","I did not have any problems using the platforms, everything was well explained by my professors ",The use of Kahoot to review for the tests,Working with my classmates,1,Not really ,
2020/08/05 3:32:41 PM MDT,4,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;VoiceThread,,Posting the videos of the lesson on d2l or panopto ,Feeling productive ,2,"I prefer in person, and if class is going to be online live is not a good method ",
2020/08/05 3:38:14 PM MDT,4,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto;Playposit;Socrative;VoiceThread,My only teacher to use Zoom was Dr. Amy Graham. She was the only class I felt transitioned correctly and was very disappointed with any class that didnâ€™t use a source of zoom or other platform which would allow more of a class feel where the professor was actually speaking live. I had great difficulty with posted videos because it did not allow me to ask questions and get prompt or appropriate answers in a timely fashion. ,"Using the question option on zoom to ask if people understood an example was used everyday, multiple times a day in Dr. Amy Grahamâ€™s class and it was so helpful. She then got a feel of what percentage of students understood what she was saying and could know when was a good time to move on ",All aspects of in person,5,"I feel because this was sprung up on Professors and students alike it was sloppy because most just posted information and didnâ€™t answer questions on material which made learning, understanding, and applying information difficult. ",Please use zoom it makes students more involved and helps bring some normalcy back
2020/08/05 4:45:29 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material)",Zoom;Panopto;Socrative;VoiceThread,It sucked because I am unable to get a decent internet connection.,,,2,Yes! Professors think students had more time and assigned more assignments when we transitioned to online than they did when we were in-person. ,Make a restriction on how much professors can assign for work. 
2020/08/05 5:34:47 PM MDT,3,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),"Zoom;Panopto;Google apps (Google classroom, Google hangout, etc.);LockDown Browser","okay just not the same as in person learning, students aren't as likely to interact",kahoots,"in person discussion aspect, physically being there makes me learn more, and makes it more fun therefore I am more motivated to participate",4,That it is very hard but I can do it if I try,
2020/08/05 6:51:42 PM MDT,4,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Socrative;VoiceThread;LockDown Browser,NA,Using breakout rooms (nothing too exciting),meeting people and discussing in person,4,It is a lot more difficult than I imagined,
2020/08/05 8:16:25 PM MDT,4,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Socrative;LockDown Browser,it was really hard to motivate myself (like most of the transition online) to watch videos on panopto. The videos were super condensed (but still long) videos full of instruction and it was just much more intense than what would have been in normal class instruction.,"Honestly I can't think of any noteworthy thing. Some teachers just are better than others and adapted better, it all still sucked in general, but I can't think of any particular trick any teacher used and I can't even think of one they could do to improve the already bad conditions.",Not being so angry and frustrated with classes and being able to easily go to office hours (because I was already on campus) vs. forcing myself to go to office hours,5,It is not acceptable for every class and depends on the class and the person,"I found that I would pass my usual levels of frustration and anger much easier online and more frequently. I would end up frustrated with a 'throw your hands in the air and shrug' kind of attitude because it all felt so pointless, disconnected, or superfluous."
2020/08/05 9:55:36 PM MDT,5,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)","Zoom;Panopto;Socrative;Google apps (Google classroom, Google hangout, etc.);VoiceThread;LockDown Browser","Panopto was probably one of my best experiences with online learning, as it allowed me to slow down, reaccess the material. The recorded Panopto sessions were also ALWAYS more throrough, relaxed, thought-through, and complete.",One instructor drew out everything that she was talking about instead of lecturing to the camera. It was way more engaging that staring at a blank face on a computer screen. ,I missed the complete and thorough rigor of instruction delivered by professors who were not bogged down by the constraints of remote learning. ,5,"It is definitely difficult, but manageable. ",
2020/08/05 10:11:38 PM MDT,4,"Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Slow wifi",Zoom;Panopto;Socrative;VoiceThread,The zoom calls were a little erratic but overall easy to talk to preceptors and teacher assistants.,,"Interacting with peers and friends in the tangible classroom environment, and giving presentations.",5,It wasn't as bad as I thought it would be. ,
